Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,7,0,170,164.8228840037648,132.44363106787205,201.20703103020787,0.0,0.05827301654188869,0.0,170,170,190,190,200,200,200,200,200,200,200
NT PLAIN E2E,end_to_end_latency,7,0,106000,87586.56666687291,12479.632790898904,124127.68616899848,1865.5714285714287,0.05827301654188869,0.0,106000,106000,120000,120000,124000,124000,124000,124000,124000,124000,124000
NT PLAIN ITL avg,inter_token_latency_avg,7,0,210,210.90909706195652,202.71495894528925,235.42542097857222,1865.5714285714287,0.05827301654188869,0.0,210,210,210,210,240,240,240,240,240,240,240
NT PLAIN ITL p95,inter_token_latency_p95,7,0,240,289.0426395677163,226.08323341701183,477.9776567360386,1865.5714285714287,0.05827301654188869,0.0,240,240,370,370,480,480,480,480,480,480,480
NT PLAIN TPS,ms_per_output_token,7,0,50,49.43139945130351,42.61163273910006,60.28808111545364,1865.5714285714287,0.05827301654188869,0.0,50,52,52,52,60,60,60,60,60,60,60
NT PLAIN TTFT,time_to_first_token,7,0,1100,2071.6187712802953,969.1454209387302,8051.434838911518,0.0,0.05827301654188869,0.0,1100,1100,1200,1200,8100,8100,8100,8100,8100,8100,8100
,Aggregated,42,0,230,15062.065243039657,42.61163273910006,124127.68616899848,1243.7142857142858,0.34963809925133216,0.0,230,480,1100,1200,89000,106000,124000,124000,124000,124000,124000
