Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,74,0,47000,44665.23741086485,14.012472998729208,126851.47022300043,0.0,0.25991870861054206,0.0,47000,58000,68000,79000,97000,107000,124000,127000,127000,127000,127000
PLAIN E2E,end_to_end_latency,21,0,103000,106951.8211456668,22587.762149998525,209772.51249899928,3072.5714285714284,0.07376071460569437,0.0,103000,125000,128000,136000,143000,168000,210000,210000,210000,210000,210000
RAG E2E,end_to_end_latency,53,0,229000,222776.16041839612,97576.81850799963,287705.2134179994,637.3396226415094,0.1861579940048477,0.0,229000,244000,256000,265000,273000,284000,287000,288000,288000,288000,288000
PLAIN ITL avg,inter_token_latency_avg,21,0,25,24.80151122540706,23.14006308060421,26.372003254236606,3072.5714285714284,0.07376071460569437,0.0,25,25,25,25,25,26,26,26,26,26,26
RAG ITL avg,inter_token_latency_avg,53,0,24,23.751604659518257,16.071442432972223,27.47337903060632,637.3396226415094,0.1861579940048477,0.0,24,24,24,25,26,27,27,27,27,27,27
PLAIN ITL p95,inter_token_latency_p95,21,0,29,28.66990779754945,25.303083199469256,31.69109710070186,3072.5714285714284,0.07376071460569437,0.0,29,29,30,30,30,31,32,32,32,32,32
RAG ITL p95,inter_token_latency_p95,53,0,27,27.75018035654799,23.63813565016244,51.561889000186106,637.3396226415094,0.1861579940048477,0.0,27,28,29,29,32,34,46,52,52,52,52
PLAIN TPS,ms_per_output_token,21,0,32,45.591132812681224,14.838401636976016,195.39039524669843,3072.5714285714284,0.07376071460569437,0.0,32,44,48,56,59,110,200,200,200,200,200
RAG TPS,ms_per_output_token,53,0,380,403.8823545238807,107.0985122949567,1071.9902206284626,637.3396226415094,0.1861579940048477,0.0,380,420,470,580,650,750,780,1100,1100,1100,1100
RAG overhead,retrieval_overhead_vs_plain,53,0,63000,79325.52020999996,14722.125816002546,162421.95825999806,0.0,0.1861579940048477,0.0,63000,112000,120000,138000,148000,158000,161000,162000,162000,162000,162000
PLAIN TTFT,time_to_first_token,21,0,86000,88862.20252647642,19969.310133999898,180459.92400499928,0.0,0.07376071460569437,0.0,86000,110000,113000,121000,125000,158000,180000,180000,180000,180000,180000
RAG TTFT,time_to_first_token,53,0,226000,219280.37067167903,93206.51415199973,284510.01297899894,0.0,0.1861579940048477,0.0,226000,240000,251000,261000,271000,280000,283000,285000,285000,285000,285000
,Aggregated,497,0,23000,70577.03512556771,14.012472998729208,287705.2134179994,791.1710261569416,1.7456702456681001,0.0,23000,81000,125000,162000,229000,256000,273000,283000,288000,288000,288000
