Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,24,0,50000,48463.29817820841,13.004206999539747,115112.3379769997,0.0,0.08184968380789216,0.0,52000,56000,79000,80000,83000,96000,115000,115000,115000,115000,115000
PLAIN E2E,end_to_end_latency,3,0,30000,32343.609270666395,27462.94699399914,39995.37054800021,2246.0,0.01023121047598652,0.0,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000
RAG E2E,end_to_end_latency,21,0,123000,122770.61531390487,64685.42209899897,181471.68645800048,635.9047619047619,0.07161847333190564,0.0,123000,143000,153000,153000,159000,178000,181000,181000,181000,181000,181000
PLAIN ITL avg,inter_token_latency_avg,3,0,13.06132269880425,13.620840556537232,13.06132269880425,14.697830851760394,2246.0,0.01023121047598652,0.0,13,13,15,15,15,15,15,15,15,15,15
RAG ITL avg,inter_token_latency_avg,21,0,14,13.710984747461819,10.992244589756293,19.981920563225884,635.9047619047619,0.07161847333190564,0.0,14,14,14,14,14,16,20,20,20,20,20
PLAIN ITL p95,inter_token_latency_p95,3,0,15,15.101561866777047,13.869171600254049,16.83027750113979,2246.0,0.01023121047598652,0.0,15,15,17,17,17,17,17,17,17,17,17
RAG ITL p95,inter_token_latency_p95,21,0,14,14.290886159683613,11.386325800413033,22.731288950399176,635.9047619047619,0.07161847333190564,0.0,14,14,14,14,15,17,23,23,23,23,23
PLAIN TPS,ms_per_output_token,3,0,12,29.199084085559047,9.950373576715961,65.70083012918454,2246.0,0.01023121047598652,0.0,12,12,66,66,66,66,66,66,66,66,66
RAG TPS,ms_per_output_token,21,0,200,227.33329688444502,88.61466813469465,602.9314490241007,635.9047619047619,0.07161847333190564,0.0,200,230,270,290,400,460,600,600,600,600,600
RAG overhead,retrieval_overhead_vs_plain,10,0,65000,72507.74438119843,35569.71149299898,133182.66312199918,0.0,0.03410403491995507,0.0,67000,88000,92000,94000,133000,133000,133000,133000,133000,133000,133000
PLAIN TTFT,time_to_first_token,3,0,26000,24817.909691333625,20203.601175000585,27884.31243300147,0.0,0.01023121047598652,0.0,26000,26000,28000,28000,28000,28000,28000,28000,28000,28000,28000
RAG TTFT,time_to_first_token,21,0,122000,120714.11961242853,61631.37682699926,178315.82777699985,0.0,0.07161847333190564,0.0,122000,139000,150000,151000,158000,177000,178000,178000,178000,178000,178000
,Aggregated,154,0,18000,46612.96359357882,9.950373576715961,181471.68645800048,521.8701298701299,0.525202137767308,0.0,20000,65000,87000,96000,141000,153000,177000,178000,181000,181000,181000
