Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,400,0,3700,3557.485202424998,9.56001299982745,68262.45004700014,0.0,1.3865862785252951,0.0,3700,4300,4700,5000,5800,6700,7600,8600,68000,68000,68000
NT PLAIN E2E,end_to_end_latency,54,0,13000,13930.626395629688,1044.794464000006,41740.44356200011,4241.148148148148,0.18718914760091485,0.0,14000,16000,19000,19000,23000,31000,37000,42000,42000,42000,42000
NT RAG E2E,end_to_end_latency,160,0,5500,6521.119858574976,2432.5277750003806,69665.54338599963,422.41875,0.554634511410118,0.0,5600,6400,7000,7200,8300,9400,15000,41000,70000,70000,70000
PLAIN E2E,end_to_end_latency,45,0,24000,24472.35505137768,2067.317772000024,49593.990653999754,5529.488888888889,0.1559909563340957,0.0,24000,28000,31000,37000,40000,46000,50000,50000,50000,50000,50000
RAG E2E,end_to_end_latency,141,0,13000,14173.602752219842,6860.084574999746,30056.9861820004,439.21276595744683,0.4887716631801665,0.0,13000,15000,16000,17000,20000,23000,28000,29000,30000,30000,30000
NT PLAIN ITL avg,inter_token_latency_avg,54,0,13,13.09587170171983,12.629783955970735,14.930692124443238,4241.148148148148,0.18718914760091485,0.0,13,13,13,13,13,14,14,15,15,15,15
NT RAG ITL avg,inter_token_latency_avg,160,0,13,12.883713136183005,10.244984353840454,16.258733090883954,422.41875,0.554634511410118,0.0,13,13,14,14,14,15,15,16,16,16,16
PLAIN ITL avg,inter_token_latency_avg,45,0,13,12.797953585263036,10.611872556122465,13.425129167433662,5529.488888888889,0.1559909563340957,0.0,13,13,13,13,13,13,13,13,13,13,13
RAG ITL avg,inter_token_latency_avg,141,0,13,12.731603996234387,10.178700999999602,16.006472458343524,439.21276595744683,0.4887716631801665,0.0,13,13,13,13,14,14,15,15,16,16,16
NT PLAIN ITL p95,inter_token_latency_p95,54,0,19,19.265871749978572,15.135900800123638,29.393512250226173,4241.148148148148,0.18718914760091485,0.0,19,21,21,22,25,27,27,29,29,29,29
NT RAG ITL p95,inter_token_latency_p95,160,0,16,18.87368971029304,10.7177073998173,52.33062079951196,422.41875,0.554634511410118,0.0,16,19,21,23,29,40,48,51,52,52,52
PLAIN ITL p95,inter_token_latency_p95,45,0,17,17.524456267784547,12.786358250286867,24.144227499846238,5529.488888888889,0.1559909563340957,0.0,17,18,19,20,21,22,24,24,24,24,24
RAG ITL p95,inter_token_latency_p95,141,0,16,19.660637931215433,10.569842599943513,52.5513785005387,439.21276595744683,0.4887716631801665,0.0,16,19,22,24,35,42,48,50,53,53,53
NT PLAIN TPS,ms_per_output_token,54,0,3,3.2741071767125454,2.7822995776546664,3.7368540163396435,4241.148148148148,0.18718914760091485,0.0,3,3,3,3,4,4,4,4,4,4,4
NT RAG TPS,ms_per_output_token,160,0,16,30.98082959755596,4.748126497542791,766.970061333268,422.41875,0.554634511410118,0.0,16,22,27,30,45,72,150,510,770,770,770
PLAIN TPS,ms_per_output_token,45,0,4,4.829800012547369,3.274947351454551,9.907021082475806,5529.488888888889,0.1559909563340957,0.0,4,5,5,6,7,7,10,10,10,10,10
RAG TPS,ms_per_output_token,141,0,35,39.01668208992645,11.604971509452968,114.45047860526374,439.21276595744683,0.4887716631801665,0.0,35,43,48,56,68,75,97,99,110,110,110
NT RAG overhead,retrieval_overhead_vs_nt_plain,157,0,4200,5086.620603082851,1892.900372999975,68275.95226199992,0.0,0.5442351143211783,0.0,4200,4700,5200,5400,6300,7600,8600,40000,68000,68000,68000
RAG overhead,retrieval_overhead_vs_plain,131,0,8000,8335.457695580133,0,21186.60849799926,0.0,0.45410700621703415,0.0,8000,10000,12000,12000,15000,18000,20000,21000,21000,21000,21000
NT PLAIN TTFT,time_to_first_token,54,0,57,66.02630057411969,41.38712499934627,160.92111800026032,0.0,0.18718914760091485,0.0,58,63,75,81,100,110,130,160,160,160,160
NT RAG TTFT,time_to_first_token,160,0,4300,5121.589871331247,1955.8132519996434,68326.19774199976,0.0,0.554634511410118,0.0,4300,4800,5200,5400,6300,7600,8600,40000,68000,68000,68000
PLAIN TTFT,time_to_first_token,45,0,4100,5505.690564111055,877.286513999934,16879.920088999825,0.0,0.1559909563340957,0.0,4100,7200,8700,9300,11000,12000,17000,17000,17000,17000,17000
RAG TTFT,time_to_first_token,141,0,12000,12550.999967801417,5958.01806199961,27412.913524000032,0.0,0.4887716631801665,0.0,12000,13000,15000,15000,18000,21000,24000,26000,27000,27000,27000
,Aggregated,2688,0,92,4119.414164148216,0,69665.54338599963,903.8169642857143,9.317859791689983,0.0,95,4300,5400,7000,12000,16000,22000,29000,68000,70000,70000
