Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,94,0,35000,32545.267421115645,27.284241979941726,184019.09019309096,0.0,0.32542337148257794,0.0,35000,40000,46000,52000,60000,72000,77000,184000,184000,184000,184000
NT PLAIN E2E,end_to_end_latency,15,0,33000,41953.02991005592,6449.950278969482,99420.5794390291,1124.4,0.05192926140679435,0.0,33000,37000,73000,74000,97000,99000,99000,99000,99000,99000,99000
NT RAG E2E,end_to_end_latency,39,0,56000,58661.14195341017,29803.50861302577,195311.87563296407,411.84615384615387,0.13501607965766532,0.0,56000,58000,67000,69000,92000,116000,195000,195000,195000,195000,195000
PLAIN E2E,end_to_end_latency,10,0,33000,70607.72296637297,13950.658452929929,288187.10713495966,1110.1,0.03461950760452957,0.0,36000,50000,85000,134000,288000,288000,288000,288000,288000,288000,288000
RAG E2E,end_to_end_latency,30,0,98000,107787.98366261956,52603.005518903956,188098.5097879311,260.7,0.1038585228135887,0.0,101000,114000,133000,141000,148000,179000,188000,188000,188000,188000,188000
NT PLAIN ITL avg,inter_token_latency_avg,15,0,150,145.68807037024777,132.46758259897194,163.30537777822377,1124.4,0.05192926140679435,0.0,150,150,150,150,160,160,160,160,160,160,160
NT RAG ITL avg,inter_token_latency_avg,39,0,140,140.53610533388675,112.81926010269672,167.19277307504055,411.84615384615387,0.13501607965766532,0.0,140,150,150,150,160,160,170,170,170,170,170
PLAIN ITL avg,inter_token_latency_avg,10,0,130,136.63038614485964,120.7422963405926,151.58610063358995,1110.1,0.03461950760452957,0.0,130,150,150,150,150,150,150,150,150,150,150
RAG ITL avg,inter_token_latency_avg,30,0,140,140.5988943545746,115.31500916462392,184.82035683312765,260.7,0.1038585228135887,0.0,140,150,150,150,170,170,180,180,180,180,180
NT PLAIN ITL p95,inter_token_latency_p95,15,0,300,294.47117198064615,217.7130562544332,397.67497582943184,1124.4,0.05192926140679435,0.0,300,310,330,350,370,400,400,400,400,400,400
NT RAG ITL p95,inter_token_latency_p95,39,0,270,266.78777279030794,119.27146336529405,413.9206821040716,411.84615384615387,0.13501607965766532,0.0,270,290,320,320,360,400,410,410,410,410,410
PLAIN ITL p95,inter_token_latency_p95,10,0,290,259.8216194391715,143.16683972720057,338.82294507930055,1110.1,0.03461950760452957,0.0,290,290,300,310,340,340,340,340,340,340,340
RAG ITL p95,inter_token_latency_p95,30,0,250,262.4775182479061,121.19396061170846,386.13362497999333,260.7,0.1038585228135887,0.0,270,280,310,340,360,370,390,390,390,390,390
NT PLAIN TPS,ms_per_output_token,15,0,37,36.72232156675212,32.24975139484741,45.971520619376456,1124.4,0.05192926140679435,0.0,37,37,38,41,43,46,46,46,46,46,46
NT RAG TPS,ms_per_output_token,39,0,150,219.5379297354138,57.28569136411111,798.6880347299843,411.84615384615387,0.13501607965766532,0.0,150,210,260,270,550,610,800,800,800,800,800
PLAIN TPS,ms_per_output_token,10,0,93,96.65091535223317,50.25934899458662,148.85804089951372,1110.1,0.03461950760452957,0.0,100,120,130,150,150,150,150,150,150,150,150
RAG TPS,ms_per_output_token,30,0,580,598.9693085582625,143.995069381062,1420.8028819630272,260.7,0.1038585228135887,0.0,590,680,780,890,1100,1100,1400,1400,1400,1400,1400
NT RAG overhead,retrieval_overhead_vs_nt_plain,39,0,39000,43924.08003453882,21419.04677101411,184244.6577459341,0.0,0.13501607965766532,0.0,39000,42000,47000,52000,68000,77000,184000,184000,184000,184000,184000
RAG overhead,retrieval_overhead_vs_plain,30,0,68000,75465.0474486174,36514.71545791719,125095.91459599324,0.0,0.1038585228135887,0.0,68000,81000,98000,105000,116000,121000,125000,125000,125000,125000,125000
NT PLAIN TTFT,time_to_first_token,15,0,530,559.5398689930638,338.1526969606057,800.7486989954486,0.0,0.05192926140679435,0.0,530,630,630,710,740,800,800,800,800,800,800
NT RAG TTFT,time_to_first_token,39,0,40000,44492.99614422787,22154.681775020435,184660.45634401962,0.0,0.13501607965766532,0.0,40000,42000,48000,52000,69000,77000,185000,185000,185000,185000,185000
PLAIN TTFT,time_to_first_token,10,0,20000,25359.116739360616,9872.505971929058,57408.002355950885,0.0,0.03461950760452957,0.0,24000,27000,29000,47000,57000,57000,57000,57000,57000,57000,57000
RAG TTFT,time_to_first_token,30,0,91000,98193.28223715613,46700.15682792291,173000.53381698672,0.0,0.1038585228135887,0.0,91000,109000,116000,128000,142000,154000,173000,173000,173000,173000,173000
,Aggregated,633,0,890,29861.998773687377,27.284241979941726,288187.10713495966,327.6461295418641,2.1914148313667217,0.0,890,38000,48000,58000,87000,113000,142000,179000,288000,288000,288000
