Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,17,0,21000,20767.1635172549,65.40115200914443,42517.55015994422,0.0,0.06231816849247496,0.0,21000,23000,23000,24000,36000,43000,43000,43000,43000,43000,43000
NT RAG E2E,end_to_end_latency,9,0,67000,85005.37977810018,33278.81922200322,236637.3532570433,2975.6666666666665,0.03299197155483968,0.0,67000,85000,109000,121000,237000,237000,237000,237000,237000,237000,237000
PLAIN E2E,end_to_end_latency,1,0,13728.0211399775,13728.0211399775,13728.0211399775,13728.0211399775,280.0,0.0036657746172044092,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
RAG E2E,end_to_end_latency,7,0,197000,179494.35661939371,112476.64608806372,238482.24184685387,6046.714285714285,0.025660422320430865,0.0,197000,202000,204000,204000,238000,238000,238000,238000,238000,238000,238000
NT RAG ITL avg,inter_token_latency_avg,9,0,82,81.79902015016563,77.97874318469965,88.509636080394,2975.6666666666665,0.03299197155483968,0.0,82,82,82,83,89,89,89,89,89,89,89
PLAIN ITL avg,inter_token_latency_avg,1,0,79.10841896331736,79.10841896331736,79.10841896331736,79.10841896331736,280.0,0.0036657746172044092,0.0,79,79,79,79,79,79,79,79,79,79,79
RAG ITL avg,inter_token_latency_avg,7,0,81,81.11321369045037,80.40739124067288,81.35649285726454,6046.714285714285,0.025660422320430865,0.0,81,81,81,81,81,81,81,81,81,81,81
NT RAG ITL p95,inter_token_latency_p95,9,0,92,92.50072822129975,86.67887814808638,109.88102493574841,2975.6666666666665,0.03299197155483968,0.0,92,93,93,94,110,110,110,110,110,110,110
PLAIN ITL p95,inter_token_latency_p95,1,0,93.07048609480262,93.07048609480262,93.07048609480262,93.07048609480262,280.0,0.0036657746172044092,0.0,93,93,93,93,93,93,93,93,93,93,93
RAG ITL p95,inter_token_latency_p95,7,0,89,89.55321699613704,88.52874226868153,90.5420153401792,6046.714285714285,0.025660422320430865,0.0,89,90,90,90,91,91,91,91,91,91,91
NT RAG TPS,ms_per_output_token,9,0,28,34.32379656957472,24.65706635164137,62.20340041495929,2975.6666666666665,0.03299197155483968,0.0,28,31,39,45,62,62,62,62,62,62,62
PLAIN TPS,ms_per_output_token,1,0,49.02864692849107,49.02864692849107,49.02864692849107,49.02864692849107,280.0,0.0036657746172044092,0.0,49,49,49,49,49,49,49,49,49,49,49
RAG TPS,ms_per_output_token,7,0,31,29.792867737275152,23.85443569652296,33.38583611037601,6046.714285714285,0.025660422320430865,0.0,31,32,33,33,33,33,33,33,33,33,33
RAG overhead,retrieval_overhead_vs_plain,7,0,47000,44735.762594267726,18127.05841870047,87693.08612076566,0.0,0.025660422320430865,0.0,47000,52000,59000,59000,88000,88000,88000,88000,88000,88000,88000
NT RAG TTFT,time_to_first_token,9,0,22000,23509.155890878497,13879.134455928579,42960.79105488025,0.0,0.03299197155483968,0.0,22000,23000,25000,36000,43000,43000,43000,43000,43000,43000,43000
PLAIN TTFT,time_to_first_token,1,0,9236.545164138079,9236.545164138079,9236.545164138079,9236.545164138079,0.0,0.0036657746172044092,0.0,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
RAG TTFT,time_to_first_token,7,0,56000,53972.307758405805,27363.60358283855,96929.63128490373,0.0,0.025660422320430865,0.0,56000,61000,68000,68000,97000,97000,97000,97000,97000,97000,97000
,Aggregated,109,0,14000,30307.854958423395,23.85443569652296,238482.24184685387,2546.348623853211,0.3995694332752806,0.0,14000,23000,35000,43000,97000,153000,204000,237000,238000,238000,238000
