Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,16,0,21000,21550.160635320935,82.67444593366235,36886.686320998706,0.0,0.0618110541271478,0.0,21000,25000,26000,26000,35000,37000,37000,37000,37000,37000,37000
PLAIN E2E,end_to_end_latency,1,0,259855.89258105028,259855.89258105028,259855.89258105028,259855.89258105028,6593.0,0.0038631908829467377,0.0,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000
RAG E2E,end_to_end_latency,15,0,184000,193262.44825359122,86590.97727795597,263025.5015080329,4532.466666666666,0.057947863244201064,0.0,184000,213000,241000,252000,255000,263000,263000,263000,263000,263000,263000
PLAIN ITL avg,inter_token_latency_avg,1,0,103.11434369585432,103.11434369585432,103.11434369585432,103.11434369585432,6593.0,0.0038631908829467377,0.0,100,100,100,100,100,100,100,100,100,100,100
RAG ITL avg,inter_token_latency_avg,15,0,100,102.25167867586933,99.86363518744325,103.90193254178259,4532.466666666666,0.057947863244201064,0.0,100,100,100,100,100,100,100,100,100,100,100
PLAIN ITL p95,inter_token_latency_p95,1,0,125.41781962499958,125.41781962499958,125.41781962499958,125.41781962499958,6593.0,0.0038631908829467377,0.0,130,130,130,130,130,130,130,130,130,130,130
RAG ITL p95,inter_token_latency_p95,15,0,130,128.47054025080675,121.39010554528795,135.57788357138637,4532.466666666666,0.057947863244201064,0.0,130,130,130,130,140,140,140,140,140,140,140
PLAIN TPS,ms_per_output_token,1,0,39.41390756575918,39.41390756575918,39.41390756575918,39.41390756575918,6593.0,0.0038631908829467377,0.0,39,39,39,39,39,39,39,39,39,39,39
RAG TPS,ms_per_output_token,15,0,41,46.39377152149014,31.1254401876096,94.78396450739925,4532.466666666666,0.057947863244201064,0.0,41,49,53,57,59,95,95,95,95,95,95
PLAIN TTFT,time_to_first_token,1,0,70217.0373989502,70217.0373989502,70217.0373989502,70217.0373989502,0.0,0.0038631908829467377,0.0,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
RAG TTFT,time_to_first_token,15,0,64000,70945.91987797369,34289.73837394733,182663.66951505188,0.0,0.057947863244201064,0.0,64000,71000,76000,93000,97000,183000,183000,183000,183000,183000,183000
,Aggregated,96,0,140,48358.60112548146,31.1254401876096,263025.5015080329,3107.5,0.37086632476288683,0.0,140,35000,70000,76000,183000,241000,260000,263000,263000,263000,263000
